elapsed_s,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb
0.024,0,0,0,46068
1.048,0,0,0,46068
2.071,0,0,0,46068
3.095,0,0,0,46068
4.119,0,0,0,46068
5.143,0,0,0,46068
6.166,0,0,0,46068
7.190,0,0,0,46068
8.215,0,0,0,46068
9.236,0,0,0,46068
10.262,0,0,0,46068
11.287,0,0,0,46068
12.311,0,0,0,46068
13.334,0,0,0,46068
14.357,0,0,0,46068
15.380,0,0,0,46068
16.407,0,0,0,46068
17.431,0,0,0,46068
18.453,0,0,3,46068
19.477,0,0,3,46068
20.499,0,0,3,46068
21.524,0,0,3,46068
22.548,0,0,3,46068
23.574,0,0,3,46068
24.596,0,0,3,46068
25.619,0,0,3,46068
26.644,0,0,3,46068
27.670,0,0,3,46068
28.696,0,0,3,46068
29.798,0,0,3,46068
30.827,0,0,434,46068
31.853,0,0,434,46068
32.876,0,0,434,46068
33.901,0,0,434,46068
34.927,0,0,1178,46068
35.952,0,0,1178,46068
36.976,6,7,2204,46068
38.000,0,0,2204,46068
39.023,0,0,2204,46068
40.045,0,0,2204,46068
41.068,0,0,2204,46068
42.092,0,0,2204,46068
43.115,0,0,2204,46068
44.142,0,0,2204,46068
45.165,0,0,2204,46068
46.211,0,0,2204,46068
47.256,0,0,1310,46068
48.302,0,0,1310,46068
49.328,0,0,1310,46068
50.353,0,0,1310,46068
51.378,0,0,1310,46068
52.403,0,0,1310,46068
53.428,0,0,1310,46068
54.452,0,0,1310,46068
55.478,0,0,1310,46068
56.502,0,0,1310,46068
57.526,0,0,1310,46068
58.552,0,0,1310,46068
59.799,0,0,1310,46068
60.824,0,0,1310,46068
61.848,0,0,1310,46068
62.873,0,0,1310,46068
63.897,0,0,1310,46068
64.921,0,0,1310,46068
65.946,1,0,1310,46068
66.970,48,57,1860,46068
68.002,100,40,5718,46068
69.033,40,45,5726,46068
70.058,99,99,5726,46068
71.086,98,100,5726,46068
72.117,89,97,5726,46068
73.140,0,0,5726,46068
