elapsed_s,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb
0.022,0,0,0,46068
1.111,0,0,0,46068
2.134,0,0,0,46068
3.160,0,0,0,46068
4.183,0,0,0,46068
5.207,0,0,0,46068
6.230,0,0,0,46068
7.253,0,0,0,46068
8.278,0,0,0,46068
9.303,0,0,0,46068
10.327,0,0,0,46068
11.352,0,0,0,46068
12.390,0,0,0,46068
13.415,0,0,0,46068
14.441,0,0,0,46068
15.465,0,0,0,46068
16.489,0,0,0,46068
17.513,0,0,0,46068
18.537,0,0,0,46068
19.560,0,0,0,46068
20.584,0,0,3,46068
21.607,0,0,3,46068
22.630,0,0,3,46068
23.654,0,0,3,46068
24.678,0,0,3,46068
25.702,0,0,3,46068
26.725,0,0,3,46068
27.746,0,0,3,46068
28.769,0,0,3,46068
29.793,0,0,3,46068
30.906,0,0,3,46068
31.929,0,0,3,46068
32.952,0,0,434,46068
33.976,0,0,434,46068
35.000,0,0,434,46068
36.025,13,2,1258,46068
37.054,0,0,1258,46068
38.079,5,0,2840,46068
39.103,0,0,2840,46068
40.126,0,0,2840,46068
41.149,0,0,2840,46068
42.173,0,0,2840,46068
43.194,0,0,2840,46068
44.217,0,0,2840,46068
45.241,0,0,2840,46068
46.264,0,0,2840,46068
47.287,0,0,2840,46068
48.311,0,0,2840,46068
49.349,0,0,2840,46068
50.373,0,0,1534,46068
51.407,0,0,1534,46068
52.430,0,0,1534,46068
53.454,0,0,1534,46068
54.478,0,0,1534,46068
55.501,0,0,1534,46068
56.525,0,0,1534,46068
57.566,0,0,1534,46068
58.593,0,0,1534,46068
59.617,0,0,1534,46068
60.648,0,0,1534,46068
61.671,0,0,1534,46068
62.695,0,0,1534,46068
63.718,0,0,1534,46068
64.742,0,0,1534,46068
65.765,0,0,1534,46068
66.789,0,0,1534,46068
67.812,0,0,1534,46068
68.835,0,0,1534,46068
69.859,0,0,1534,46068
70.882,0,0,1534,46068
71.905,0,0,1534,46068
72.929,0,0,1534,46068
73.952,0,0,1534,46068
74.976,0,0,1534,46068
76.010,0,0,1534,46068
77.036,0,0,1534,46068
78.074,0,0,1534,46068
79.101,0,0,1534,46068
80.125,0,0,1534,46068
81.148,0,0,1534,46068
82.172,0,0,1534,46068
83.204,0,0,1534,46068
84.239,0,0,1534,46068
85.263,0,0,1534,46068
86.290,76,89,2714,46068
87.317,100,40,5944,46068
88.345,72,82,5950,46068
89.370,99,100,5950,46068
90.394,98,94,5950,46068
91.420,12,9,6004,46068
92.447,99,100,6004,46068
93.471,0,0,6004,46068
94.495,0,0,6004,46068
95.518,0,0,6004,46068
96.542,0,0,6004,46068
97.566,0,0,6004,46068
98.589,0,0,6004,46068
99.612,0,0,6004,46068
100.636,0,0,6004,46068
101.660,0,0,6004,46068
102.683,0,0,6004,46068
103.707,0,0,6004,46068
104.730,0,0,6004,46068
105.753,0,0,6004,46068
106.777,0,0,6004,46068
