elapsed_s,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb
0.029,0,0,0,46068
1.055,0,0,0,46068
2.079,0,0,0,46068
3.106,0,0,0,46068
4.131,0,0,0,46068
5.155,0,0,0,46068
6.179,0,0,0,46068
7.203,0,0,0,46068
8.229,0,0,0,46068
9.256,0,0,0,46068
10.281,0,0,0,46068
11.307,0,0,0,46068
12.333,0,0,0,46068
13.358,0,0,0,46068
14.513,0,0,0,46068
15.537,0,0,0,46068
16.559,0,0,0,46068
17.585,0,0,0,46068
18.611,0,0,0,46068
19.638,0,0,3,46068
20.662,0,0,3,46068
21.687,0,0,3,46068
22.713,0,0,3,46068
23.742,0,0,3,46068
24.767,0,0,3,46068
25.792,0,0,3,46068
26.817,0,0,3,46068
27.843,0,0,3,46068
28.876,0,0,3,46068
29.902,0,0,3,46068
30.929,0,0,3,46068
31.953,0,0,3,46068
32.977,0,0,434,46068
34.003,0,0,434,46068
35.027,0,0,434,46068
36.055,0,0,434,46068
37.080,0,0,434,46068
38.106,0,0,434,46068
39.132,0,0,434,46068
40.161,0,0,434,46068
41.186,0,0,1178,46068
42.218,0,0,1178,46068
43.246,0,0,1232,46068
44.272,0,0,1232,46068
45.297,0,0,2960,46068
46.321,0,0,2960,46068
47.345,0,0,16848,46068
48.370,0,0,16848,46068
49.394,0,0,16848,46068
50.418,0,0,16848,46068
51.444,0,0,16848,46068
52.468,0,0,16848,46068
53.493,0,0,16848,46068
54.516,0,0,16848,46068
55.541,0,0,16848,46068
56.581,0,0,2120,46068
57.615,0,0,2120,46068
58.658,0,0,2120,46068
59.686,0,0,2120,46068
60.723,0,0,2120,46068
61.749,0,0,2120,46068
62.775,0,0,2120,46068
63.800,0,0,2120,46068
64.825,0,0,2120,46068
65.851,0,0,2120,46068
66.876,0,0,2120,46068
67.901,0,0,2120,46068
68.926,0,0,2120,46068
69.952,0,0,2120,46068
70.997,0,0,2120,46068
72.049,0,0,2120,46068
73.073,0,0,2120,46068
74.099,0,0,2120,46068
75.123,0,0,2120,46068
76.306,0,0,2120,46068
77.331,0,0,9398,46068
78.357,96,100,40298,46068
79.387,0,0,40734,46068
80.420,0,0,40734,46068
81.448,0,0,40734,46068
82.475,0,0,40734,46068
83.502,0,0,40734,46068
84.552,0,0,40734,46068
85.596,0,0,40734,46068
86.649,0,0,40734,46068
87.687,0,0,40738,46068
88.728,9,0,40742,46068
89.769,0,0,40742,46068
90.813,0,0,40746,46068
91.863,0,0,40746,46068
92.910,0,0,40750,46068
93.941,0,0,40750,46068
94.974,3,0,40754,46068
96.011,0,0,40754,46068
97.053,15,0,40758,46068
98.106,0,0,40758,46068
99.181,0,0,40760,46068
100.222,4,5,44218,46068
101.256,0,0,44218,46068
102.299,0,0,44222,46068
103.364,0,0,44222,46068
104.513,0,0,44226,46068
105.643,0,0,44226,46068
106.681,0,0,44226,46068
107.709,0,0,44226,46068
108.741,0,0,44226,46068
109.765,0,0,44226,46068
111.946,0,0,3,46068
112.971,0,0,0,46068
113.995,0,0,0,46068
115.020,0,0,0,46068
116.047,0,0,0,46068
117.071,0,0,0,46068
118.097,0,0,0,46068
119.124,0,0,0,46068
120.151,0,0,0,46068
121.177,0,0,0,46068
122.201,0,0,0,46068
123.225,0,0,0,46068
124.253,0,0,3,46068
125.277,0,0,3,46068
126.303,0,0,3,46068
127.329,0,0,3,46068
128.353,0,0,3,46068
129.377,0,0,3,46068
130.402,0,0,3,46068
131.426,0,0,3,46068
132.457,0,0,20,46068
133.483,0,0,434,46068
134.508,0,0,434,46068
135.535,0,0,434,46068
136.565,0,0,434,46068
137.590,0,0,434,46068
138.619,0,0,434,46068
139.645,0,0,434,46068
140.668,0,0,434,46068
141.693,0,0,1178,46068
142.725,0,0,1178,46068
143.752,0,0,1232,46068
144.779,0,0,1232,46068
145.805,0,0,2960,46068
146.833,26,29,16848,46068
147.858,0,0,16848,46068
148.882,0,0,16848,46068
149.904,0,0,16848,46068
150.928,0,0,16848,46068
151.951,0,0,16848,46068
152.975,0,0,16848,46068
154.004,29,3,2120,46068
155.047,0,0,2120,46068
156.079,0,0,2120,46068
157.103,0,0,2120,46068
158.126,0,0,2120,46068
159.152,0,0,2120,46068
160.175,100,74,40250,46068
161.218,0,0,40638,46068
162.249,0,0,40638,46068
163.278,0,0,40638,46068
164.313,0,0,40638,46068
165.362,0,0,40638,46068
166.412,0,0,40638,46068
167.444,0,0,40638,46068
168.470,0,0,40642,46068
169.495,0,0,40642,46068
170.533,0,0,40646,46068
171.575,0,0,40650,46068
172.626,0,0,40650,46068
173.717,0,0,40654,46068
174.765,0,0,42382,46068
175.804,0,0,42386,46068
176.838,0,0,44114,46068
177.881,0,0,44118,46068
178.926,0,0,44118,46068
179.974,0,0,44118,46068
181.022,0,0,44122,46068
182.073,0,0,44122,46068
183.096,0,0,44126,46068
184.130,0,0,44126,46068
185.199,0,0,44126,46068
186.253,0,0,44130,46068
187.316,0,0,44130,46068
188.368,0,0,44130,46068
189.394,0,0,44130,46068
190.420,0,0,44130,46068
191.449,0,0,44130,46068
192.474,0,0,44130,46068
193.498,0,0,44130,46068
194.526,0,0,44130,46068
195.551,0,0,44130,46068
198.104,0,0,1,46068
199.127,0,0,0,46068
200.152,0,0,0,46068
201.177,0,0,0,46068
202.203,0,0,0,46068
203.229,0,0,0,46068
204.257,0,0,0,46068
205.281,0,0,0,46068
206.305,0,0,0,46068
207.331,0,0,0,46068
208.356,0,0,3,46068
209.381,0,0,3,46068
210.406,0,0,3,46068
211.432,0,0,3,46068
212.460,0,0,3,46068
213.486,0,0,3,46068
214.512,0,0,3,46068
215.536,0,0,3,46068
216.559,0,0,3,46068
217.581,0,0,434,46068
218.610,0,0,434,46068
219.636,0,0,434,46068
220.661,0,0,434,46068
221.686,0,0,434,46068
222.714,0,0,434,46068
223.741,0,0,434,46068
224.765,0,0,434,46068
225.842,0,0,436,46068
226.869,0,0,1178,46068
227.894,0,0,1188,46068
228.920,0,0,1232,46068
229.946,0,0,2960,46068
230.971,0,0,2960,46068
231.993,0,0,16848,46068
233.018,0,0,16848,46068
234.043,0,0,16848,46068
235.067,0,0,16848,46068
236.090,0,0,16848,46068
237.114,0,0,16848,46068
238.141,0,0,16848,46068
239.180,0,0,16848,46068
240.218,0,0,2120,46068
241.242,0,0,2120,46068
242.279,0,0,2120,46068
243.306,0,0,2120,46068
244.329,0,0,2120,46068
245.361,100,60,40202,46068
246.416,0,0,40638,46068
247.455,0,0,40638,46068
248.488,0,0,40638,46068
249.537,0,0,40638,46068
250.586,0,0,40638,46068
251.634,0,0,40638,46068
252.660,0,0,40638,46068
253.694,0,0,40642,46068
254.724,0,0,40642,46068
255.821,0,0,40646,46068
256.869,0,0,40650,46068
257.926,0,0,40650,46068
258.974,0,0,40650,46068
260.009,0,0,40654,46068
261.042,0,0,42382,46068
262.106,0,0,42386,46068
263.146,0,0,42386,46068
264.195,35,25,44118,46068
265.251,0,0,44118,46068
266.308,0,0,44122,46068
267.336,0,0,44122,46068
268.368,0,0,44122,46068
269.403,0,0,44126,46068
270.450,0,0,44126,46068
271.501,0,0,44126,46068
272.590,0,0,44130,46068
273.637,0,0,44130,46068
274.685,0,0,44130,46068
275.730,0,0,44130,46068
