elapsed_s,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb
0.024,0,0,0,46068
1.050,0,0,0,46068
2.078,0,0,0,46068
3.103,0,0,0,46068
4.127,0,0,0,46068
5.151,0,0,0,46068
6.176,0,0,0,46068
7.201,0,0,0,46068
8.226,0,0,0,46068
9.252,0,0,0,46068
10.277,0,0,0,46068
11.302,0,0,0,46068
12.327,0,0,0,46068
13.498,0,0,0,46068
14.520,0,0,0,46068
15.544,0,0,0,46068
16.569,0,0,0,46068
17.597,0,0,3,46068
18.622,0,0,3,46068
19.647,0,0,3,46068
20.673,0,0,3,46068
21.698,0,0,3,46068
22.724,0,0,3,46068
23.749,0,0,3,46068
24.775,0,0,3,46068
25.798,0,0,3,46068
26.820,0,0,3,46068
27.845,0,0,434,46068
28.876,0,0,434,46068
29.907,0,0,434,46068
30.934,0,0,1258,46068
31.958,0,0,1258,46068
32.983,48,53,7396,46068
34.008,0,0,7396,46068
35.033,0,0,7396,46068
36.058,0,0,7396,46068
37.083,0,0,7396,46068
38.105,0,0,7396,46068
39.128,0,0,7396,46068
40.152,0,0,7396,46068
41.177,0,0,7396,46068
42.202,0,0,7396,46068
43.226,0,0,7396,46068
44.530,0,0,2182,46068
45.568,0,0,2182,46068
46.610,0,0,2182,46068
47.635,0,0,2182,46068
48.660,0,0,2182,46068
49.684,0,0,2182,46068
50.709,0,0,2182,46068
51.734,0,0,2182,46068
52.760,0,0,2182,46068
53.785,0,0,2182,46068
54.811,0,0,2182,46068
55.835,0,0,2182,46068
56.860,0,0,2182,46068
57.885,0,0,2182,46068
58.910,0,0,2182,46068
59.936,0,0,2182,46068
60.962,0,0,2182,46068
61.986,0,0,2182,46068
63.012,0,0,2182,46068
64.037,0,0,2182,46068
65.062,0,0,2182,46068
66.087,0,0,2182,46068
67.113,0,0,2182,46068
68.137,0,0,2182,46068
69.162,0,0,2182,46068
70.187,0,0,2182,46068
71.241,0,0,2182,46068
72.272,0,0,2182,46068
73.301,0,0,2182,46068
74.568,0,0,2182,46068
75.593,0,0,2182,46068
76.618,0,0,2182,46068
77.662,0,0,2182,46068
78.708,0,0,2182,46068
79.736,1,0,2182,46068
80.761,0,0,2182,46068
81.789,99,100,19180,46068
82.818,100,40,19180,46068
83.846,100,40,19180,46068
84.874,100,40,19180,46068
85.902,98,72,19182,46068
86.931,99,54,19188,46068
87.961,100,39,19188,46068
88.988,99,84,19188,46068
